speciesCode,cat,taxonOrder,aba
gycher3,issf,4221,
grnvie2,issf,4262,
grnvio1,issf,4263,
gnbman1,issf,4289,
gnbman2,issf,4294,
antman2,issf,4297,
antman3,issf,4298,
amtsun2,issf,4307,
amtsun4,issf,4310,
amtsun3,issf,4311,
putsun4,issf,4322,
putsun2,issf,4323,
spehum2,issf,4362,
spehum3,issf,4370,
spehum4,issf,4371,
beamou2,issf,4437,
beamou3,issf,4438,
tyrmet2,issf,4441,
tyrmet3,issf,4442,
tyrmet4,issf,4443,
tyrmet5,issf,4444,
tyrmet6,issf,4447,
tyrmet7,issf,4448,
virmet2,issf,4451,
virmet3,issf,4452,
virmet4,issf,4453,
virmet5,issf,4454,
savpuf2,issf,4486,
savpuf3,issf,4490,
